#LINK
#lang	ja
#attribution_url	http://www.city.mishima.shizuoka.jp
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	mishima_aed
#download_from	http://linkdata.org/work/rdf1s1732i
#property	市区町村コード	都道府県名	市区町村名	名称	名称_カナ	区分	住所	方書	http://www.w3.org/2003/01/geo/wgs84_pos#long	http://www.w3.org/2003/01/geo/wgs84_pos#lat	設置位置	電話番号	法人番号	団体名	利用可能曜日	開始時間	終了時間	利用可能日時特記事項	URL	備考
#object_type_xsd	string	string	string	string	string	string	string	string	float	float	string	string	string	string	string	string	string	string	string	string
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
msm_aed_127	222062	静岡県	三島市	白道保育園	ビャクドウホイクエン	保育園	静岡県三島市加屋町2-21		138.9056118	35.1164602		055-972-2291								
msm_aed_128	222062	静岡県	三島市	飛龍高等学校　三島スクール	ヒリュウコウトウガッコウ　ミシマスクール	高校	静岡県三島市玉川君ケ沢２４２－１		138.91522	35.109403	２Ｆ保健室前	055-971-2295				〔時間〕 8:00	18:00			
msm_aed_129	222062	静岡県	三島市	広小路クリニック	ヒロコウジクリニック	医療機関	静岡県三島市広小路町８－１９		138.909743	35.119207	処置室	055-972-2231				〔時間〕 9:00	17:00			
msm_aed_130	222062	静岡県	三島市	広小路だいとう歯科	ヒロコウジダイトウシカ	医療機関	静岡県三島市広小路町１３－１０		138.9116	35.118382	診療室	055-975-0214				〔時間〕 9:00	18:30			
msm_aed_131	222062	静岡県	三島市	ファミリーマート　三島梅名店	ファミリーマート　ミシマウメナテン	商店等	静岡県三島市梅名　９８４－１０３７　		138.9292	35.090698		055-984-1037								
msm_aed_132	222062	静岡県	三島市	ファミリーマート　三島駅南口店	ファミリーマート　ミシマエキミナミクチテン	商店等	静岡県三島市一番町　１２－６		138.913308	35.125529		055-975-9591								
msm_aed_133	222062	静岡県	三島市	ファミリーマート　三島加茂川店	ファミリーマート　ミシマカモガワテン	商店等	静岡県三島市加茂川町　１２－４８		138.921803	35.126981		055-983-2322								
msm_aed_134	222062	静岡県	三島市	ファミリーマート　三島幸原店	ファミリーマート　ミシマコウバラテン	商店等	静岡県三島市幸原町２－３－１３		138.912324	35.138511		055-980-6371								
msm_aed_135	222062	静岡県	三島市	ファミリーマート　三島中島店	ファミリーマート　ミシマナカジマテン	商店等	静岡県三島市中島９５－１０		138.932043	35.099116		055-984-3450								
msm_aed_136	222062	静岡県	三島市	ファミリーマート　三島長伏店	ファミリーマート　ミシマナガブセテン	商店等	静岡県三島市長伏　５７－１５		138.914566	35.090364		055-984-0851								
msm_aed_137	222062	静岡県	三島市	ファミリーマート　三島柳郷地店	ファミリーマート　ミシマヤナギゴウチテン	商店等	静岡県三島市柳郷地　１４		138.939894	35.115297		055-981-2522								
msm_aed_138	222062	静岡県	三島市	芙蓉台デンタルクリニック	フヨウダイデンタルクリニック	医療機関	静岡県三島市徳倉８３８－４２		138.912141	35.150986	診療室内	055-986-4818				〔時間〕 9:00	18:30			
msm_aed_139	222062	静岡県	三島市	芙蓉台保育園	フヨウダイホイクエン	保育園	静岡県三島市芙蓉台2-3-17		138.918126	35.1550762		055-987-7922								
msm_aed_140	222062	静岡県	三島市	ふるさとの丘	フルサトノオカ	福祉施設	静岡県三島市徳倉２０８－１		138.923192	35.142634	事務室	055-988-3535				〔時間〕 8:30	17:30			
msm_aed_141	222062	静岡県	三島市	放送大学静岡学習センター	ホウソウダイガクシズオカガクシュウセンター	大学	静岡県三島市文教町１丁目３－９３		138.911358	35.128903	放送大学静岡学習センター事務室前	055-989-1253				〔時間〕火~金 9:30 ~ 18:00      土日  9:00 ~ 17:30				
msm_aed_142	222062	静岡県	三島市	マスダビル	マスダビル	その他	静岡県三島市一番町15-21		138.9121551	35.1253696	一階ロビー	055-975-5656				〔時間〕 6:00	1899-12-31 23:00:00			
msm_aed_143	222062	静岡県	三島市	街中ほっとサロン	マチナカホットサロン	公共機関	静岡県三島市中央町４－１		138.916615	35.119812		055-973-4165								
msm_aed_144	222062	静岡県	三島市	マックスバリュ　三島本町店	マックスバリュ　ミシマホンチョウテン	商店等	静岡県三島市本町３－２９		138.913611	35.119501	１階カウンター前	055-976-1650				〔時間〕  7:00	23:30			
msm_aed_145	222062	静岡県	三島市	三島函南広域行政組合立みしま聖苑	ミシマカンナミコウイキギョウセイクミアイリツミシマセイエン	公共機関	静岡県三島市字賀茂之洞４７０３－７		138.93641	35.142266	事務所内	055-976-3663				〔時間〕8:30	1899-12-31 17:15:00			
msm_aed_146	222062	静岡県	三島市	三島函南農業協同組合新谷支店	ミシマカンナミノウギョウキョウドウクミアイアラヤシテン	金融機関	静岡県三島市新谷155-8		138.9160584	35.1031876	一階入り口付近					〔時間〕 8:30	1899-12-31 17:00:00			
msm_aed_147	222062	静岡県	三島市	三島函南農業協同組合川原ヶ谷支店	ミシマカンナミノウギョウキョウドウクミアイカワハラガヤシテン	金融機関	静岡県三島市川原ケ谷115-1		138.928246	35.1225143	一階入り口付近					〔時間〕 8:30	1899-12-31 17:00:00			
msm_aed_148	222062	静岡県	三島市	三島函南農業協同組合北上支店	ミシマカンナミノウギョウキョウドウクミアイキタウエシテン	金融機関	静岡県三島市幸原町1-13-19		138.9129155	35.1382728	一階フロア入り口付近					〔時間〕 8:30	1899-12-31 17:00:00			
msm_aed_149	222062	静岡県	三島市	三島函南農業協同組合坂支店	ミシマカンナミノウギョウキョウドウクミアイサカシテン	金融機関	静岡県三島市三ツ谷新田25-1		138.9681395	35.1407958	一階農薬庫横					〔時間〕 8:30	1899-12-31 17:00:00			
msm_aed_150	222062	静岡県	三島市	三島函南農業協同組合佐野支店	ミシマカンナミノウギョウキョウドウクミアイサノシテン	金融機関	静岡県三島市佐野160-1		138.922789	35.1678701	一階入り口付近テレビ横					〔時間〕 8:30	1899-12-31 17:00:00			
msm_aed_151	222062	静岡県	三島市	三島函南農業協同組合大社前支店	ミシマカンナミノウギョウキョウドウクミアイタイシャマエシテン	金融機関	静岡県三島市大宮町3-6-5		138.9193766	35.1250592	一階ロビー内入口					〔時間〕 8:30	1899-12-31 17:00:00			
msm_aed_152	222062	静岡県	三島市	三島函南農業協同組合中郷支店	ミシマカンナミノウギョウキョウドウクミアイナカザトシテン	金融機関	静岡県三島市中島269-1		138.9320715	35.0962874	一階入り口付近					〔時間〕 8:30	1899-12-31 17:00:00			
msm_aed_153	222062	静岡県	三島市	三島函南農業協同組合フレッシュ北上店	ミシマカンナミノウギョウキョウドウクミアイフレッシュキタウエテン	金融機関	静岡県三島市幸原町1-13-19		138.9129155	35.1382728	一階購買店舗側入り口付近					〔時間〕 9:00	1899-12-31 18:00:00			
msm_aed_154	222062	静岡県	三島市	三島函南農業協同組合フレッシュ錦田店	ミシマカンナミノウギョウキョウドウクミアイフレッシュニシキダテン	金融機関	静岡県三島市谷田字城の内141-1		138.9285289	35.1145599	一階入り口付近レジ横					〔時間〕 9:00	1899-12-31 18:00:00			
msm_aed_155	222062	静岡県	三島市	三島函南農業協同組合本店	ミシマカンナミノウギョウキョウドウクミアイホンテン	金融機関	静岡県三島市谷田字城の内141-1		138.9297779	35.114338	一階正面入り口	055-971-8211				〔時間〕 8:30	1899-12-31 17:00:00			
msm_aed_156	222062	静岡県	三島市	三島共立病院	ミシマキョウリツビョウイン	医療機関	静岡県三島市八反畑１２０－７		138.923192	35.099261	１階玄関ロビー	055-973-0882				〔時間〕 8:30	21:00			
msm_aed_157	222062	静岡県	三島市	三島警察署	ミシマケイサツショ	公共機関	静岡県三島市谷田１９４－１		138.928084	35.113713	正面出入り口	055-981-0110				〔時間〕24時間				
msm_aed_158	222062	静岡県	三島市	みしま健康塾	ミシマケンコウジュク	その他	静岡県三島市中央町１－４０		138.916116	35.1194821	玄関	055-955-9651				〔時間〕 火 水 金 10:00~17:00  木12:00~20:00  土日 10:00~16:00				
msm_aed_159	222062	静岡県	三島市	三島沢地工業団地協同組合	ミシマサワジコウギョウダンチキョウドウクミアイ	その他	静岡県三島市平成台２番地		138.940079	35.152468	一階事務所	055-988-5600				〔時間〕9:00	1899-12-31 17:00:00			
msm_aed_160	222062	静岡県	三島市	三島市医師会メディカルセンター	ミシマシイシカイメディカルセンター	医療機関	静岡県三島市南本町４－３１		138.913477	35.116289	救急処置室	055-972-0711				〔時間〕 平日  18:00 ~ 22:00         土曜日 14:00 ~ 21:00        日祝日  9:00 ~ 21:00	22:00			
msm_aed_161	222062	静岡県	三島市	三島市社会福祉会館	ミシマシシャカイフクシカイカン	公共機関	静岡県三島市三島市南本町20－30		138.915215	35.11832		055-972-3221								
msm_aed_162	222062	静岡県	三島市	三島市清掃センター	ミシマシセイソウセンター	公共機関	静岡県三島市賀茂之洞4703-94		138.913206	35.123763		055-971-8993								
msm_aed_163	222062	静岡県	三島市	三島市民温水プール	ミシマシミンオンスイプール	公共機関	静岡県三島市文教町2－10－57		138.918139	35.129158		055-980-5757								
msm_aed_164	222062	静岡県	三島市	三島市民生涯学習センター	ミシマシミンショウガイガクシュウセンター	公共機関	静岡県三島市大宮町1－8－38		138.918587	35.118518		055-983-0888								
msm_aed_165	222062	静岡県	三島市	三島市民体育館	ミシマシミンタイイクカン	公共機関	静岡県三島市文教町2－10－57		138.91845	35.128965		055-987-7570								
msm_aed_166	222062	静岡県	三島市	三島市役所　大社町別館	ミシマシヤクショ　タイシャチョウベッカン	公共機関	静岡県三島市三島市大社町1－10		138.919182	35.119312		055-983-2650								
msm_aed_167	222062	静岡県	三島市	三島市役所　中央町別館	ミシマシヤクショ　チュウオウチョウベッカン	公共機関	静岡県三島市三島市中央町5－5		138.916385	35.119935		055-983-2668								
msm_aed_168	222062	静岡県	三島市	三島市役所　本庁	ミシマシヤクショ　ホンチョウ	公共機関	静岡県三島市北田町4－47		138.918587	35.118518		055-975-3111								
msm_aed_169	222062	静岡県	三島市	三島商工会議所	ミシマショウコウカイギショ	公共機関	静岡県三島市一番町　２－２９		138.914196	35.123987	１階ｴﾝﾄﾗﾝｽﾎｰﾙ	055-975-4441				〔時間〕  8:15	21:30			
msm_aed_170	222062	静岡県	三島市	みしま勝和クリニック	ミシマショウワクリニック	医療機関	静岡県三島市南田町4-65		138.915934	35.112146	受付	055-972-7751				〔時間〕8:30	1899-12-31 19:00:00			
msm_aed_171	222062	静岡県	三島市	三島市立箱根の里	ミシマシリツハコネノサト	公共機関	静岡県三島市字北原菅4710－1		138.982885	35.16308		055-985-2131								
msm_aed_172	222062	静岡県	三島市	三島市立保健センター	ミシマシリツホケンセンター	公共機関	静岡県三島市南田町8－35		138.913206	35.123763		055-973-3700								
msm_aed_173	222062	静岡県	三島市	三島信用金庫　本店営業部	ミシマシンヨウキンコ　ホンテンエイギョウブ	金融機関	静岡県三島市芝本町１２－３		138.914397	35.120681	１階階段付近	055-975-4840				〔時間〕平日9:00-18:00,土日祝10:00-18:00				
msm_aed_174	222062	静岡県	三島市	三島税務署	ミシマゼイムショ	公共機関	静岡県三島市文教町一丁目4番33号		138.9128182	35.1336454	玄関	055-987-6713				〔時間〕 8:30	1899-12-31 17:00:00			
msm_aed_175	222062	静岡県	三島市	三島総合病院	ミシマソウゴウビョウイン	医療機関	静岡県三島市谷田２２７６		138.951838	35.124077	１階エントランス／　　２階透析室	055-975-3031				〔時間〕 8:30	17:15			
msm_aed_176	222062	静岡県	三島市	三嶋大社	ミシマタイシャ	観光施設	静岡県三島市大宮町２丁目１－５		138.918611	35.121723	（客殿）祈祷者控室	055-975-0172				〔時間〕  8:30	1899-12-31 17:00:00			
msm_aed_177	222062	静岡県	三島市	三島中央自動車学校	ミシマチュウオウジドウシャガッコウ	その他	静岡県三島市加茂川町１３－６		138.924163	35.126762	待合室	055-975-2088				〔時間〕 9:00	1899-12-31 20:00:00			
msm_aed_178	222062	静岡県	三島市	三島中央病院	ミシマチュウオウビョウイン	医療機関	静岡県三島市緑町１－３		138.912474	35.117228	１階救急外来、健診センター	055-971-4133				〔時間〕24時間				
msm_aed_179	222062	静岡県	三島市	みしまプラザホテル	ミシマプラザホテル	その他	静岡県三島市本町１４－３１		138.915457	35.11918	1階ホテルフロント　　事務室	055-972-2121				〔時間〕 24時間				
msm_aed_180	222062	静岡県	三島市	三島森田病院	ミシマモリタビョウイン	医療機関	静岡県三島市徳倉１１９５番地ー７９３		138.9222985	35.155755	西２階病棟救急カート	055-986-3337				〔時間〕8:30	1899-12-31 17:00:00			
msm_aed_181	222062	静岡県	三島市	三島山口医院	ミシマヤマグチイイン	医療機関	静岡県三島市栄町１－２３		138.908754	35.11918	診察室	055-975-0559				〔時間〕 9:00-12:00 15:00-18:00				
msm_aed_182	222062	静岡県	三島市	三島ようらん保育園	ミシマヨウランホイクエン	保育園	静岡県三島市梅名553-1		138.9239189	35.0968015		055-977-2811								
msm_aed_183	222062	静岡県	三島市	道上医院	ミチガミイイン	医療機関	静岡県三島市新谷　３０－４		138.920649	35.102766	診察室	055-976-8111				〔時間〕 8:30	18:00			
msm_aed_184	222062	静岡県	三島市	南二日町グラウンド	ミナミフツカマチグラウンド	公共機関	静岡県三島市南二日町22－10		138.926277	35.112313										
msm_aed_185	222062	静岡県	三島市	南幼稚園	ミナミヨウチエン	幼稚園	静岡県三島市青木265		138.918909	35.107701		055-975-6922								
msm_aed_186	222062	静岡県	三島市	ミニストップ　三島梅名店	ミニストップ　ミシマウメナテン	商店等	静岡県三島市梅名　４４７－１４		138.926454	35.09442		055-977-9856								
msm_aed_187	222062	静岡県	三島市	ミニストップ　三島北沢店	ミニストップ　ミシマキタサワテン	商店等	静岡県三島市北沢　６７－１０		138.935876	35.100804		055-977-3358								
msm_aed_188	222062	静岡県	三島市	見晴学園	ミハラシガクエン	福祉施設	静岡県三島市エビノ木４７４５		138.984926	35.152232	みはらしの里玄関	055-985-2241				〔時間〕 8:30	17:15			
msm_aed_189	222062	静岡県	三島市	宮内まこと記念クリニック	ミヤウチマコトキネンクリニック	医療機関	静岡県三島市泉町９－４４		138.909518	35.121567	診察室	055-975-0675				〔時間〕 8:30	16:30			
msm_aed_190	222062	静岡県	三島市	森永製菓（株）　三島工場	モリナガセイカカブ　ミシマコウジョウ	その他	静岡県三島市南二日町１１－５０		138.927333	35.108631	工場正門警備室	055-975-5000				〔時間〕 8:00	16:30			
msm_aed_191	222062	静岡県	三島市	谷田池田医院	ヤタイケダイイン	医療機関	静岡県三島市谷田１９０－１		138.928953	35.114213	玄関	055-975-1042				〔時間〕 9:00	18:00			
msm_aed_192	222062	静岡県	三島市	(有)アイロード	ユウアイロード	その他	静岡県三島市梅名710番地		138.920563	35.094815	事務所入り口	055-982-5118				〔時間〕8:30	1899-12-31 17:00:00			
msm_aed_193	222062	静岡県	三島市	養護老人ホーム佐野楽寿寮	ヨウゴロウジンホームサノラクジュリョウ	福祉施設	静岡県三島市谷田（小山押切）1260－2		138.93199	35.119944		055-975-8274								
msm_aed_194	222062	静岡県	三島市	横浜ゴム 三島工場	ヨコハマゴム ミシマコウジョウ	その他	静岡県三島市南二日町８－１		138.925858	35.109702	守衛所	055-975-0800				〔時間〕 0:00	0:00			
msm_aed_195	222062	静岡県	三島市	吉村眼科内科医院	ヨシムラガンカナイカイイン	医療機関	静岡県三島市長伏２２４－７		138.9161378	35.0860423	待合室	055-984-1333				〔時間〕 8:30	18:00			
msm_aed_196	222062	静岡県	三島市	米山歯科医院	ヨネヤマシカイイン	医療機関	静岡県三島市壱町田５１－１英光ﾋﾞﾙ内		138.919684	35.132869	診療室	055-988-0666				〔時間〕 9:00	18:00			
msm_aed_197	222062	静岡県	三島市	楽寿園	ラクジュエン	公共機関	静岡県三島市一番町19－3		138.910843	35.12436		055-975-2570								
msm_aed_198	222062	静岡県	三島市	ル・グランガーデン	ル・グランガーデン	福祉施設	静岡県三島市徳倉三丁目1－53		138.9160765	35.1402203	玄関	055-987-0700				〔時間〕8:30	1899-12-31 17:30:00			
msm_aed_199	222062	静岡県	三島市	老人福祉施設　梅名の里	ロウジンフクシシセツ　ウメナノサト	福祉施設	静岡県三島市梅名５７８		138.923192	35.097966	玄関脇事務室正面	055-977-8686				〔時間〕 8:00	20:00			
msm_aed_200	222062	静岡県	三島市	老人福祉センター	ロウジンフクシセンター	福祉施設	静岡県三島市川原ケ谷839－1		138.93509	35.133948		055-971-0462								
msm_aed_201	222062	静岡県	三島市	老人福祉センター　ヴィターレ	ロウジンフクシセンター　ヴィターレ	福祉施設	静岡県三島市佐野１１５０－１		138.921518	35.155565	施設玄関付近	055-987-2522				〔時間〕 8:30	17:00			
msm_aed_202	222062	静岡県	三島市	ローソン　ニュー箱根店	ローソン　ニューハコネテン	商店等	静岡県三島市谷田　１５９３－１		138.934184	35.123695		055-971-4422								
msm_aed_203	222062	静岡県	三島市	ローソン　三島壱町田店	ローソン　ミシマイッチョウダテン	商店等	静岡県三島市壱町田　７７－３		138.920242	35.133457		055-988-7181								
msm_aed_204	222062	静岡県	三島市	ローソン　三島大場店	ローソン　ミシマダイバテン	商店等	静岡県三島市大場　３９１－３		138.943319	35.094701		055-977-1133								
msm_aed_205	222062	静岡県	三島市	渡辺整形外科	ワタナベセイケイゲカ	医療機関	静岡県三島市萩188番地		138.908032	35.148352	外来事務室	055-987-1550				〔時間〕8:30	1899-12-31 18:00:00			
msm_aed_206	222062	静岡県	三島市	旭が丘幼稚園	アサヒガオカヨウチエン	幼稚園	静岡県三島市旭ヶ丘２３－３１		138.933309	35.130518		055-972-2781								
msm_aed_207	222062	静岡県	三島市	伊豆佐野保育園	イズサノホイクエン	保育園	静岡県三島市佐野１１０－１		138.924901	35.166689		055-992-0519								
msm_aed_208	222062	静岡県	三島市	加茂川町保育園	カモガワチョウホイクエン	保育園	静岡県三島市加茂川町５－３０		138.923857	35.123033		055-975-3609								
msm_aed_209	222062	静岡県	三島市	（株）ＡＢＣ　三島二日町店	カブＡＢＣ　ミシマフツカマチテン	その他	静岡県三島市南二日町６３４－１		138.923358	35.110632	カウンター横出入口	055-981-5611				〔時間〕9:00	1899-12-31 22:30:00			
msm_aed_210	222062	静岡県	三島市	（株）三静工業	カブサンセイコウギョウ	その他	静岡県三島市三島市松本１８１		138.92302	35.085624	玄関入口	055-977-2054				〔時間〕 8:00	17:00			
msm_aed_211	222062	静岡県	三島市	（株）シード	カブシード	その他	静岡県三島市文教町１－７－２５		138.9094078	35.1270132	２階事務所内	055-988-0777				〔時間〕 9:00	1899-12-31 18:00:00			
msm_aed_212	222062	静岡県	三島市	（株）増進会出版社	カブゾウシンカイシュッパンシャ	その他	静岡県三島市文教町１丁目９－１１		138.912184	35.127719	１階受付	055-976-8951				〔時間〕9:00	1899-12-31 18:00:00			
msm_aed_213	222062	静岡県	三島市	（株）東横イン　富士山三島駅	カブトウヨコイン　フジサンミシマエキ	その他	静岡県三島市文教町１－５－７		138.910457	35.128464	正面入口	055-980-1045				〔時間〕24時間				
msm_aed_214	222062	静岡県	三島市	（株）平田屋	カブヒラタヤ	商店等	静岡県三島市平成台７番地		138.940358	35.153425	２階事務所前廊下	055-988-7005				〔時間〕8:00	1899-12-31 17:00:00			
msm_aed_215	222062	静岡県	三島市	錦田こども園	ニシキダコドモエン	公共機関	静岡県三島市谷田２７１－１		138.934162	35.113783		055-975-4853								
msm_aed_216	222062	静岡県	三島市	光ヶ丘保育園	ヒカリガオカホイクエン	保育園	静岡県三島市光ヶ丘１９－２		138.926175	35.136023		055-987-5730								
msm_aed_217	222062	静岡県	三島市	佐野あゆみの里	サノアユミノサト	公共機関	静岡県三島市新谷１７５		138.917634	35.106582		055-971-1354								
msm_aed_218	222062	静岡県	三島市	坂幼稚園	サカヨウチエン	幼稚園	静岡県三島市市山新田１５３－１		138.960845	35.13716		055-972-7699								
msm_aed_219	222062	静岡県	三島市	松本幼稚園	マツモトヨウチエン	幼稚園	静岡県三島市松本９９－１		138.918962	35.088523		055-977-1904								
msm_aed_220	222062	静岡県	三島市	西幼稚園	ニシヨウチエン	幼稚園	静岡県三島市栄町２－１９		138.908574	35.119996		055-975-1382								
msm_aed_221	222062	静岡県	三島市	青木保育園	アオキホイクエン	保育園	静岡県三島市青木３２３		138.922639	35.1086		055-971-5127								
msm_aed_222	222062	静岡県	三島市	沢地幼稚園	サワジヨウチエン	幼稚園	静岡県三島市沢地２５７		138.927156	35.142647		055-986-1836								
msm_aed_223	222062	静岡県	三島市	緑町佐野保育園	ミドリチョウサノホイクエン	保育園	静岡県三島市緑町１２－１２		138.91021	35.115468		055-972-3120								
